Najdfreee,ترامب
tadams1234bg,TwitterFactCheck
Jamiewuzhere,pleasedeletemika
RyanSonday,DeplatformThePlatform
Tropicalbill1,OPENJOEC
funnybone55,DeplatformThePlatform
lachcs,Pleasedeletethosetweets
rlevdacs,DeplatformThePlatform
neergt,DeplatformThePlatform
jyaryaniii,Pleasedeletethosetweets
LisaWink07,Pleasedeletethosetweets
AmyWMIGOPTeam,DeplatformThePlatform
greenerygaz,DeplatformThePlatform
BarfNader,DeplatformThePlatform
NormaFo49575230,factcheck
Countrygg1,DeplatformThePlatform
crazylove1971,TwitterFactCheck
OkieNV,ObamaGate
angriestvoter,Pleasedeletethosetweets
Nativeluvr,Pleasedeletethosetweets
sethg_love,EnemyOfThePeople QArmyWorldwide JusticeIsComing
nomores25494044,banbishoptalbertswanfromtwitter
bordermaganews,TwitterFactCheck
hordakz,DeplatformThePlatform
dDonWeatherford,DeplatformThePlatform
elianselmi,DeplatformThePlatform
mbthornton,RemoveTrumpFromTwitter
GraceMi06335404,TWURDBURGLAR
StefannSS,DeplatformThePlatform
randygagner,CarolynGombell
TaylorTuri,DeplatformThePlatform
Angelemichelle,ShadowBan TwitterPurge
joa_2020,WeThePeople Qanon Censorship WWG1WGA
Peter_Schafer1,DeplatformThePlatform
MattStigen,TwitterFactCheckIsFake
LisaTxxoo,DeplatformThePlatform
Nickram19930227,DeplatformThePlatform
CharXRenee,DeplatformThePlatform
artnetworx1,fact
bigegoinsc,HateSpeech
REDSTOR24053210,DeplatformThePlatform
startrekfan58,DeplatformThePlatform
YohJudy,DeplatformThePlatform
JenJ828,Censorship
GerHilbrants,Trump
PaulMonte18,DeplatformThePlatform
SJSieloff,DeplatformThePlatform
Anonymo33804588,DeplatformThePlatform
RealPresDotard,CarolynGombell
joanbeat2,Pleasedeletethosetweets
LundbladNancy,DeplatformThePlatform
q_askthe,OBAMAGATE
tammanntam,TakeitBack
patsdunc,BanTrumpFromTwitter
ICEMANBADGER,YouAintBlack
realAlexIvanov,Qwik
IAmtheManinthe1,StopTheBiasTwitter
SunMoonRising17,PleaseDeleteMika DeleteMindlessMika
cruisesandiego,ObamaGate
kibblesoffour,justiceforcarolyngombell
kirstenrourke,Pleasedeletethosetweets
MrCraighead2012,TakeTrumpOffTwitter
NormaFo49575230,factchecker
LAMorgan12,DeplatformThePlatform
