retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
MelissaKCarson,DonaldJTrumpJr,13976,23284,51975
deanomight1,deanomight1,13,23994,23981
2simplyb,soloyochapin,4167,58173,54003
captain15,SebGorka,185,80886,210
running2fit,newtexas3,46607,76468,233
vman771,MikeyGee2020,14797,74611,60945
BradKelly72,BradKelly72,9,1577,1568
SCardamenis,morningmika,68638,27719,79198
blacktoproad,morningmika,9831,67771,51606
EdgeBoomer,MichelleBrodeu2,55513,4567,83373
wildkat57,morningmika,9393,80092,52045
missionmidnight,morningmika,64230,70884,83609
ObamaMama59,morningmika,10138,40512,51301
RosevilleCindy,LoveMyCymba,407,54637,68225
hohmdog,mscrosswi,9415,4913,58743
running2fit,Newswars4,43162,76472,78020
H2oVolk,SebGorka,190,50032,210
thames_tim,rubble30,15685,62934,33381
temporalsin,EricTrump,10950,17571,53571
FilmaS777,morningmika,9834,65079,51606
deplorablebigd2,LibbyPander,15873,57896,34727
stockwellp,morningmika,10140,58944,51301
AmyV333,morningmika,9835,64324,51606
UnRapporteur,morningmika,9835,34383,51606
monyinzer,SaltyDog_58,10319,61096,79920
MewAnon,DonaldJTrumpJr,13985,70296,51975
tbear7276,yesnicksearcy,142,52900,61410
tstephens505,EricTrump,10952,63555,53571
Mrtnzym,EricTrump,10952,63619,53571
zero3design,morningmika,9398,52634,52045
kominc,PoliticalShort,2495,76239,51863
CarrollWJerome1,DonaldJTrumpJr,13986,78392,51975
ThePudge93,morningmika,9837,48909,51606
PemaJempa,morningmika,10143,68965,51301
JoeD12946835,EliseStefanik,59203,66865,29674
SonnyCDavis,RealSaavedra,62127,69037,68490
RayrayAZ,cvpayne,50927,71941,32849
RayannaSupple,SebGorka,195,11146,210
Debbie80927821,morningmika,10144,50543,51301
habbening_its,DougGraves2187,246,64713,41078
JeffreyLee64,EricTrump,10955,77353,53571
poison4u2get,DonaldJTrumpJr,13988,25602,51975
GooseyGran,Baby50s,10913,41122,61051
Lawrenc96256742,SebGorka,196,43664,210
KatyC21761193,morningmika,68648,17499,79198
art_woolum,EricTrump,10956,40319,53571
NanzzzzNanzzz,morningmika,9841,39964,51606
running2fit,ericcamwhistle,48808,76480,31782
BobA1959,SecOfState7O,85413,81134,84020
lambeausodder96,morningmika,9402,43092,52045
jhbentley,SebGorka,198,63599,210
sj2300,Debber66,43493,81446,52795
cjuarez76,morningmika,10147,83227,51301
Penetrada,LoveIsabella72,13226,67723,47521
Megawatts55,DemDw,43,47265,50754
DevilDanD,SebGorka,198,77019,210
WhitnerTrinia,morningmika,10148,56402,51301
420Munsterfan,EliseStefanik,59208,59222,29674
rabbithole59,SunflowerSoul71,6076,45284,66326
Weaver_ScottA,morningmika,10148,51445,51301
luv_america4,inthecopa,58674,81999,72543
dl0300,Freediscours,43051,52583,11481
Carrie762,morningmika,9405,9816,52045
