retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
AlvinJ62,JoeyCannoli4,10532,71304,64867
nevrsurrender05,plantlady293,27632,19845,75293
CSciarretta,ResisterDude,4535,33026,25028
rendabeltzer3,leslieau7,3407,64270,8905
EricSacco,HawleyMO,935,8827,59960
SpeechSquelch,oaxacanphil,4960,80003,17806
crazynm,HawleyMO,936,5275,59960
JMBrown53788079,HawleyMO,937,19446,59960
flatrockflower,morningmika,26097,14236,51606
annettewalls,ScottPresler,5772,31571,47375
GetrostMichelle,morningmika,26403,10284,51301
mathewsjw,cvpayne,67186,85887,32849
JoSchlimgen,SugarPillKiller,17445,6891,44902
ecallejasjx35,HawleyMO,940,9315,59960
CSciarretta,RWTrollPatrol,18662,33032,71076
RosalindPrest17,morningmika,25661,7202,52045
inquizativegeo,SebGorka,19968,291,83099
ARealPrincesa,almostjingo,17008,61991,8945
NeroForte9,HawleyMO,944,19325,59960
grwaltonsr,morningmika,26409,73297,51301
RedConstructora,MsJulieLenarz,22709,1892,56926
CSciarretta,RobAnderson2018,12945,33037,54335
EdReid47182223,Hulkanator11,10550,59791,26315
LoverOfPups777,AMErikaNGIRLLL,1423,85932,16165
NaimasDude_,HawleyMO,945,37133,59960
donestes43,HawleyMO,946,71416,59960
Rob71680743Rob,EricTrump,27222,51758,53571
riverkola,morningmika,26412,84020,51301
Buddah_Luck,DonaldJTrumpJr,30256,66916,51975
Sumsky2,almostjingo,17013,81709,8945
richdiet_mel,ScottPresler,5783,12568,47375
sarataos,DonaldJTrumpJr,30257,39239,51975
helmofamily,HawleyMO,948,52759,59960
AliyuUthmaan,AliyuUthman,32756,17708,60316
MaryOsb36485285,JamesS020770,778,68247,77786
curly1015,EricTrump,27225,23012,53571
WingsCowboysFan,HawleyMO,950,7556,59960
skarrrrri,ScottPresler,5785,61415,47375
rangertx08008,HawleyMO,950,9005,59960
Lisalovessports,HawleyMO,950,15153,59960
AnthonyRR_90,LeighNYC_Laura,9204,49338,61446
JCT09112994,HawleyMO,951,25922,59960
SarahCoffin,tresseiss,214,2864,49559
RZam2888,ScottPresler,5786,18717,47375
denise_coyle6,ScottPresler,5787,63087,47375
HoumaIndian7,DonaldJTrumpJr,30261,79994,51975
JoSchlimgen,GlennGrana,14277,6904,79628
richdiet_mel,cmdebrecht1,4789,12572,49506
glassic131,compto36176344,19974,82568,65395
TikiTique,HawleyMO,953,71248,59960
bakerjjw,tribelaw,10944,73348,84178
CeliaMcDonald18,ShannonFreshour,7143,8641,61013
annettewalls,covfefe2020Q,25825,31589,57461
MikePresley18,morningmika,26420,83851,51301
romopar,HawleyMO,956,51363,59960
SarahCoffin,EraNelzyy,1377,2869,47870
ShinScythe,DonaldJTrumpJr,30265,67994,51975
ErengwaM,HawleyMO,956,63600,59960
glennsgm,DonaldJTrumpJr,30265,54482,51975
maisamomof2,_ReaalAmerican_,17970,29283,59604
BBNnOIB,HawleyMO,957,28984,59960
DennisG60867771,Atlantiso1,6478,27572,2699
CSciarretta,ShannonFreshour,7145,33049,61013
flatrockflower,ScottPresler,5793,14257,47375
texaradogirl,_ReaalAmerican_,2403,11488,75173
Realpersonpltcs,DonaldJTrumpJr,30269,68765,51975
ErengwaM,MarkDice,376,63604,82809
PaulMonte18,ScottPresler,5795,68564,47375
MrCharl79533255,jazzbear09,41,44748,84341
Geminisvoice,morningmika,26426,1481,51301
SpeechSquelch,davidanasco,19749,80030,6321
HuskieHoskins,AK_Hibby,487,11552,4914
gjonesc3,trumpAngel45,20685,69061,77166
trumplove63,ScottPresler,5799,81906,47375
barbran62,clearandprezent,1716,85166,81224
sbs4md,mwwoods,13056,1163,3897
zippypuke,Junkyard_D,9116,10747,86145
Joy87064929,Inevitable_ET,9527,18455,15584
_stopfakenews,Junkyard_D,9118,22049,86145
SarahCoffin,suzanne_hingel,4028,2881,15805
JoSchlimgen,United20204,26403,6921,80340
glassic131,Godschic4u,5611,82584,58844
Tony_Porras2050,morningmika,26434,57238,51301
bayoulady2,soloyochapin,20469,11620,54003
MarilynJahn,Debber66,59782,85393,52795
NancyArkell,morningmika,26436,77792,51301
mjdallasblue,ScottPresler,5807,65339,47375
dentside73,DonaldJTrumpJr,30282,17834,51975
SarahCoffin,julaynevirgil,4104,2886,51458
intruth22,HawleyMO,973,53119,59960
WhiteIsTheFury,HawleyMO,973,67618,59960
DepKristine,EricTrump,27250,67797,53571
jonihubbard,HawleyMO,975,2619,59960
lovemykittykat,morningmika,26440,6206,51301
Roughreadyjp,ChrissyBatchel1,4073,65116,86082
jetrotter,HawleyMO,976,9886,59960
momwhalen,RodRockn,76712,60214,81719
ConservativeJi1,beth2_k3a,7494,42440,65451
JoeMonteleone6,HawleyMO,979,23105,59960
Joy87064929,LeafsNation96,9349,18468,86276
RodentHour,morningmika,26139,67969,51606
CAGALUN,HawleyMO,980,51205,59960
michell46631528,morningmika,26140,20830,51606
PinupBoss,morningmika,26140,80266,51606
ShaoKing,MarkDice,398,83223,82809
Tim91679913,sarah_siskin,29097,79293,74027
niosha,morningmika,26447,3076,51301
tampabuckeye88,DonaldJTrumpJr,30292,75331,51975
O_Captain_Ove,HawleyMO,984,3133,59960
MidnaTheHippie,morningmika,26449,60083,51301
DabuMonk,EricTrump,27260,76983,53571
mccunecicki,morningmika,26145,2998,51606
Anthea06274890,Joemora63617406,407,27873,72575
TracyTcleve,morningmika,26145,35376,51606
Marilyn2617,EricTrump,27261,52858,53571
HollyNiotti,Inevitable_ET,9547,74922,15584
Adam_OClay,zhanover,730,69816,19420
JMB69348669,HawleyMO,986,68893,59960
bleatstreet,morningmika,26451,17257,51301
Seantzizl,HawleyMO,988,65348,59960
Joy87064929,intheMatrixxx,4555,18477,53830
arcbody8008,HawleyMO,989,52946,59960
wolfvane,morningmika,26150,83979,51606
jbuginas,morningmika,80548,13244,83609
PavonaRhiannon,HawleyMO,991,18161,59960
mcmlstokes1,EricTrump,27268,24395,53571
cofveve61,Susan92803352,425,61499,22771
Ilene_Talley,biden_brigade,18894,85768,26202
CSciarretta,overrhypocrissy,10901,33087,3997
glassic131,antiamnesty,10315,82611,34101
RosemarieBrown3,Leslieoo7,5695,15916,82025
PeggyPe69520858,morningmika,26462,77409,51301
TrumpFansClub,HawleyMO,998,53892,59960
LaDivaOnFire,morningmika,25719,6287,52045
rendabeltzer3,Surfinbones,9164,64333,64809
JodyBelcher7,kat2020maga,22683,17262,77091
TheMaxMalkov,HawleyMO,999,64370,59960
RandallMccaffry,EricTrump,27275,16921,53571
LynnNicholson9,HawleyMO,1000,28170,59960
Jenluvalatte,cvpayne,67248,61769,32849
difrangirl,SebGorka,20028,2469,83099
NoelleHoover22,morningmika,26162,62330,51606
ElaineSako,HawleyMO,1002,66399,59960
Jake2077,HawleyMO,1002,62509,59960
StempNicole,HawleyMO,1002,13491,59960
RosemarieBrown3,acnewsitics,19275,15922,68650
clive_uttley,Junkyard_D,9154,26370,86145
Lincoln1710,morningmika,26468,1870,51301
marklarj,HawleyMO,1003,28766,59960
nancy_conrad,morningmika,25725,78648,52045
mainetoaz,GuelfiJohn,334,67977,72375
jujube23,AnonsSynonymous,911,17071,58483
JoanneWT09,PinkBelgium,8561,65492,72183
costacheTod,RealSaavedra,78455,81137,68490
NobaconEgbert,OutIn2020,2223,41881,27014
45_chrissie,Debber66,59818,69049,52795
DIEHARD1949,CthulhuRules,43097,58791,28035
andyblandina,JennaEllisEsq,7336,74687,61101
Joy87064929,ScottPresler,5843,18497,47375
Cibelokid,DanielNewman,23148,14971,42856
Trumpisgoingdow,morningmika,26474,67007,51301
USADanaK,Liz_Wheeler,65322,62729,22683
deidre_newcomb,EricTrump,27286,64711,53571
msirignano2,yours917,885,61841,67008
GTR431,HawleyMO,1011,28120,59960
TimCamp71495351,hatuey2013,30,75614,30821
RosemarieBrown3,RWTrollPatrol,18734,15931,71076
1mimi4ever,morningmika,84982,58516,79198
jason_pasquale,kazweida,13222,4681,43087
RobinLaPierre2,EricTrump,27290,26632,53571
Joy87064929,cmdebrecht1,4852,18504,49506
HollyNiotti,LegalLionTN,9426,74952,56752
denay68,Liz_Wheeler,65329,85071,22683
txstk,MarkDice,434,70241,82809
JKorinetz,ShannonFreshour,7206,29339,61013
AmericusUSA,HawleyMO,1018,59692,59960
AngelaWaterho10,DanielNewman,23157,84165,42856
HollyNiotti,WeKnowEDKH,9191,74955,59979
tishcasey11,HawleyMO,1020,25389,59960
coneathia,DonaldJTrumpJr,30329,47472,51975
hmc_mrs,michaeljknowles,58,85593,59587
TamaraLynn333,donwinslow,3760,21081,58133
HollyNiotti,ericbegy,9315,74958,9141
KawaiRoko,EraNelzyy,1444,9252,47870
KDugovich,rudepundit,72451,60740,35054
wutangclown,EricTrump,27301,61643,53571
ReginaW17695128,morningmika,26185,81118,51606
Elalushmaven,SmashingAmps,12756,7442,71452
JanSilverMaple1,morningmika,26187,60290,51606
TonyKirkMD,gerryconway,15011,28909,1697
USADanaK,SeacoastEagle,8482,62748,10478
Arklady2,HawleyMO,1028,21067,59960
DominickSaso,HawleyMO,1030,13296,59960
justonepatriot,KBUSMC2,56163,58762,35261
patriciaHaselm1,HawleyMO,1030,30162,59960
Mrespect1K,morningmika,26191,24592,51606
anngilbertpdx,morningmika,25752,8776,52045
Joy87064929,KassandraKitson,6251,18520,6631
1portabella,morningmika,26191,10765,51606
texaradogirl,ShannonFreshour,7220,11561,61013
Poppadas,morningmika,26497,83223,51301
MAGA_GAY,EricTrump,27309,16876,53571
robmv,HawleyMO,1034,18175,59960
mjaer97_bg,I_Am_The_Storm7,5256,58840,23056
TheTheGrinch7,bitchute,676,68694,37337
sbrentsimpson,_ReaalAmerican_,2480,10244,75173
imagineifyousee,EricTrump,27313,73109,53571
StacyLStiles,HawleyMO,1038,16833,59960
MarkTJay3,MrsChico724,13562,12703,21246
Azura35167403,HawleyMO,1039,71297,59960
Joy87064929,covfefe2020Q,25910,18529,57461
andrevezina8,TheWalrus_50,12,49877,13487
GinnyOBrien7,ChellieCook1,2711,11040,25569
irishdobe,morningmika,26507,2675,51301
teethrusiii,EricTrump,27318,8180,53571
scott_ejscott,morningmika,26507,71416,51301
mlb343,EliseStefanik,75569,66047,29674
RLSTheFirst,SQSGodCountry,16698,3772,5915
melissaadams53,morningmika,26205,78995,51606
Biscuit_Cutest,morningmika,26510,79963,51301
joanne12987064,ShannonFreshour,7233,85536,61013
TempK5,SherryMercer100,77556,20368,35638
unami_patch,Egotious,88,6329,69718
pepesgrandma,JulieNBCNews,1256,45164,21354
sbrentsimpson,_ReaalAmerican_,2478,10254,75185
Ilene_Talley,peace1,5083,85820,50905
DirkHolsomback,SmashingAmps,12776,62067,71452
texaradogirl,LeadersMaster,14550,11577,75319
flatrockflower,cmdebrecht1,4886,14348,49506
rborg46,Baby50s,27282,83946,61051
sklatzrednama,morningmika,26514,24205,51301
jopc81,PoliticalShort,18867,17547,51863
cosmos1390,EricTrump,27326,4884,53571
reneervh,kat2020maga,22735,19403,77091
ljpeace,HawleyMO,1050,32266,59960
starck_patrick,acnewsitics,19323,77594,68650
SwampStank,HawleyMO,1051,52505,59960
LLAMAX5,BuzzPatterson,13564,48602,71480
greenpaloalto,HawleyMO,1052,51995,59960
glassic131,1Romans58,11200,82667,76434
FordDK01,HawleyMO,1053,59168,59960
improper_ganda,improper_ganda,875,73188,72313
buzzzbea,RWTrollPatrol,18775,85530,71076
MicheledelPilar,HawleyMO,1053,75297,59960
DotarSojat429,morningmika,26519,63288,51301
SemperFiSusie,ScottPresler,5889,7941,47375
CurveWhiplash,morningmika,26520,12029,51301
JimSmith628,HawleyMO,1055,13998,59960
starck_patrick,RilesTheDog,19149,77599,53167
reggiedunlopno4,HawleyMO,1057,18704,59960
johnsoncollee10,morningmika,26522,84231,51301
EamonReilly_com,michaeljknowles,94,12452,59587
kimforamerica,ScottPresler,5892,67053,47375
RockySnakes,HawleyMO,1057,30197,59960
beth2_k3a,beth2_k3a,7574,73025,65451
johnwhartle,morningmika,26523,49951,51301
denise_coyle6,Keljo1991,5914,63193,70326
Joy87064929,STOPTHiS,25734,18547,52696
MaryHolleran,morningmika,26523,61979,51301
crisser28583214,DonaldJTrumpJr,30367,10944,51975
sew206,HawleyMO,1059,78952,59960
joanrogliano,DanielNewman,23198,80612,42856
JKorinetz,RobAnderson2018,13060,29381,54335
diamondpoopsie7,DonaldJTrumpJr,30370,10447,51975
starck_patrick,ShannonFreshour,7249,77604,61013
TellerCheryl,SebGorka,20088,83232,83099
Jona_G_Music,michaeljknowles,98,5890,59587
IamSamIam14,JulieNBCNews,1271,65596,21354
MB_ABG_MD,sparkledocawake,19603,44721,2974
StephenHodi,EliseStefanik,75589,54591,29674
andr3sc4st,HawleyMO,1065,896,59960
GuyThompson_Esq,HawleyMO,1065,3287,59960
starck_patrick,axelknudsen,9467,77609,52043
KeoniGohan,Liz_Wheeler,65379,42418,22683
Robertkaczynsk5,Lawrenc19587700,9357,29148,7400
Ilene_Talley,cyndy_jt,18375,85841,75475
shouts10,mr_squeege,3034,86146,2618
ko29551,morningmika,25789,18483,52045
ACatholicKnight,HawleyMO,1068,72006,59960
mcj1630,HawleyMO,1069,68203,59960
goldenrule47,morningmika,26534,17652,51301
rebelsresisting,TrueFactsStated,4119,74522,70255
LRrenn,HawleyMO,1070,74025,59960
lucy_persona,ShannonFreshour,7260,44819,61013
RarisHeart,Relic_USA,45566,20714,51580
imaginaryjones,timheidecker,62302,66996,40039
JKorinetz,RWTrollPatrol,18795,29394,71076
kevin51541,HawleyMO,1074,64410,59960
RockySnakes,HawleyMO,1074,30214,59960
lucy_persona,NotHoodlum,3779,44823,53349
DannyPevoto,AlohaHa59067534,10914,5521,43773
F2legit,morningmika,26236,73262,51606
SillyShwan,HawleyMO,1077,4745,59960
ddwiese,Junkyard_D,9228,13055,86145
Lee82815053,SebGorka,20104,6568,83099
SavinGodsAngels,SherryMercer100,3874,70905,22952
RWM1953,TheSheilaG2020,16862,49091,68397
imaginaryjones,timheidecker,62813,67001,39533
Charles_44Mag,HawleyMO,1079,68833,59960
debbied58,morningmika,26544,58391,51301
starck_patrick,NotHoodlum,3782,77622,53349
Adam_OClay,TruthRaiderHQ,882,69909,74436
sarataos,HawleyMO,1079,39370,59960
SweeneyMomma,DonaldJTrumpJr,30389,53546,51975
MaggieL,HawleyMO,1080,8717,59960
RuthfordKarla,morningmika,26545,29267,51301
JoeMoretti11,HawleyMO,1081,27840,59960
65starfish,morningmika,26241,22542,51606
CoCnservative,HawleyMO,1082,15268,59960
lucy_persona,RobAnderson2018,13082,44829,54335
jay_hoos,HawleyMO,1082,50377,59960
JayKenney5,morningmika,26547,4071,51301
SemperFiSusie,Inevitable_ET,9643,7969,15584
JKorinetz,mrsdurkinmuses,18803,29403,64633
sharebear817,morningmika,26548,58589,51301
JosephMagers,HawleyMO,1083,81933,59960
CasualtyWar,HawleyMO,1083,52158,59960
Helen504,morningmika,26550,82532,51301
ayethespy,Inevitable_ET,9646,66040,15584
kgdawg88,covfefe2020Q,25954,22447,57461
JacksonRobeson,EricTrump,27363,12157,53571
panamamawa,morningmika,26248,78751,51606
RustyMAGA,ScottPresler,5923,68642,47375
BeverlyDunning3,_ReaalAmerican_,16549,26830,61156
starck_patrick,okkie48,8959,77632,1028
vickithenanny,DonaldJTrumpJr,30398,64236,51975
jchristian61,HawleyMO,1091,82384,59960
Ilene_Talley,RWTrollPatrol,18814,85866,71076
beatricetrumpy2,EricTrump,27368,70180,53571
packfansunited,morningmika,26557,15555,51301
lucy_persona,SpockResists,14872,44840,84691
C_trump_win,HawleyMO,1093,73820,59960
repeat1968,morningmika,26253,12984,51606
cherylaki7,EricTrump,27369,76345,53571
JaneJSnow,HawleyMO,1094,46518,59960
sandypersisted,morningmika,26559,80676,51301
debbied58,morningmika,26254,58406,51606
ElyaTzvi,babies4_me,24530,59582,72174
furher_hitler,HawleyMO,1095,24912,59960
gjlewis,EliseStefanik,75620,64391,29674
tomborelli,HawleyMO,1095,2248,59960
PaulChavaux,HawleyMO,1096,77823,59960
Natalie48815090,michaege,25958,72233,58396
JKorinetz,RodneyCaston,13439,29418,50170
Empnew,morningmika,26562,353,51301
merlins_girl,TheSheilaG2020,16882,31439,68397
Roadie8105,SmashingAmps,12827,19797,71452
imoisilis,HawleyMO,1098,78067,59960
defeat_gop,defeat_gop,73363,595,13632
DutyOfAPatriot,ScottPresler,5934,80434,47375
TLee12412068,DonaldJTrumpJr,30408,68676,51975
DavidSchmalenb1,morningmika,26565,6861,51301
itiswhatitis54,DonaldJTrumpJr,30409,7565,51975
suzanne_kemper,HawleyMO,1101,5255,59960
Geoff_Pryor,HawleyMO,1101,81606,59960
ActivistKathy,morningmika,26261,67081,51606
sbrentsimpson,henryjackson,5888,10310,58670
JimmyWangUK,HawleyMO,1103,74740,59960
lucy_persona,ResisterDude,4704,44850,25028
JAnonymousNY,Priv_Sht_Lord,942,56722,17783
lhumphries13,denise_hogarth,23680,32135,52220
Ogaba2345,michaeljknowles,141,82254,59587
sbrentsimpson,gbollmann01,6176,10313,42952
mjaer97_bg,chesleydohl,7057,58910,82754
lucy_persona,acnewsitics,19378,44853,68650
madinmichigan,morningmika,26266,79440,51606
KEEFERDOGGIE,TruthAnJustice5,6301,25751,63988
tishcasey11,EliseStefanik,75631,25475,29674
CraigCl347,DeniseO6229,26042,73329,79144
Batesxtudo,morningmika,26574,15190,51301
MAGAmax2020,HawleyMO,1109,75962,59960
skooterpie64,HawleyMO,1109,30943,59960
sbrentsimpson,lesleyabravanel,2187,10318,56
Adam_OClay,MCaldamone,639,69940,6819
michelle_ceo,ShannonFreshour,7299,66952,61013
corklebery,HawleyMO,1111,83705,59960
MOTRPolitics1,CommentOnTWLB,1301,5244,67549
anitalew1967,HawleyMO,1112,84180,59960
BeckyEubankCox,HawleyMO,1113,5078,59960
kirk_chevalier,HawleyMO,1115,5959,59960
ZSlantXPost_88,HawleyMO,1117,65322,59960
starck_patrick,RWTrollPatrol,18839,77660,71076
sbrentsimpson,FranktheMc2,9468,10325,75976
ROCKNROLLIFE,michaeljknowles,155,52279,59587
Ann4Usa,EricTrump,27394,49456,53571
TrumpTrainATX,ScottPresler,5953,12584,47375
michelle11141,davidmweissman,28060,85461,86063
akmac1111,HawleyMO,1120,74545,59960
fmacdonald729,DonaldJTrumpJr,30429,81220,51975
tonydasit1,HawleyMO,1120,31054,59960
sbrentsimpson,taradublinrocks,5693,10329,74922
RealSlimTrump,HawleyMO,1121,65110,59960
Seeoharewhy1979,DonaldJTrumpJr,30431,65019,51975
1KevHamilton,ShannonFreshour,7311,64365,61013
ValarieDennis,morningmika,26588,9098,51301
ginkmeister13,HawleyMO,1124,65015,59960
JoyaMia00,rubble30,32136,16139,33381
RickDav96963953,morningmika,26590,19279,51301
MrHarmoniouis,SebGorka,6176,69723,10676
ucello777,morningmika,25848,20811,52045
Vittoriac410,EliseStefanik,75654,83079,29674
wchd_the_CHUD,wchd_the_CHUD,22,69351,69329
FilipBosnjak6,michaeljknowles,166,85031,59587
wanderlusterHD,morningmika,26594,60453,51301
MTthebeautiful,DonaldJTrumpJr,30439,49024,51975
MariaPa05990683,morningmika,26595,12167,51301
Joy87064929,Godschic4u,5772,18619,58844
starck_patrick,davematt88,12203,77673,82804
jacoblerr,HawleyMO,1130,39912,59960
McG32940,chanceitup,19725,84717,29835
LadyofFe,DerekSmalls18,3881,72711,15391
SnarkyLive,NotHoodlum,3834,85479,53349
HolycrapitsOzzy,HawleyMO,1132,29951,59960
TrumpsRevenge,SQSGodCountry,16786,78768,5915
starck_patrick,Ladybounty2000,12055,77675,55178
sbrentsimpson,BrinaBrady,1884,10340,67240
checkerstoday,ScottPresler,5968,77934,47375
TheAmielSchertz,HawleyMO,1133,18101,59960
threedeacon,SebGorka,20162,10531,83099
TempK5,Time4U2Know,78576,20458,9759
Soshjust,morningmika,26296,5489,51606
marycmcl,HawleyMO,1136,67849,59960
slsgaston,morningmika,26296,26908,51606
Fatima_Gillani4,Najamkhan175,5079,33806,84048
1DWise,HawleyMO,1138,20147,59960
United_WeAscend,ScottPresler,5973,70665,47375
Dogeebaby,HawleyMO,1138,60394,59960
MMV38902464,JayinWashington,18204,16099,51049
psislercnm,donwinslow,3876,8101,58133
gregsart,sdujka,124,67579,80851
SanJacintoClan,HawleyMO,1139,74493,59960
Caleidoscope11,Inevitable_ET,9701,53160,15584
hrch8r,covfefe2020Q,26010,12183,57461
AnnMariePetry1,HawleyMO,1140,29395,59960
realstuart45,Mgreaze,21982,73606,23277
tamiguitar,morningmika,26606,85136,51301
Verminacide,DonaldJTrumpJr,30450,84516,51975
smallworlddezin,donwinslow,3879,59650,58133
vickithenanny,EricTrump,27418,64289,53571
sbrentsimpson,terrilodi,5756,10351,73073
SnarkyLive,RobAnderson2018,13143,85491,54335
RampCapitalLLC,HawleyMO,1144,84705,59960
caring1a,morningmika,25866,33395,52045
Kimberl00908702,MakeTheSift,54618,71485,51168
LIsaGreenTXGal,HawleyMO,1145,4989,59960
ladyheiser,morningmika,26305,55233,51606
txguajolote,RilesTheDog,19238,18788,53167
winetexan,HawleyMO,1146,71031,59960
StudioCityDonMc,sally_tanner,5550,75549,3572
ross_m12,HawleyMO,1147,61762,59960
TrumperSeaney,HumbleSatBoy,78277,72095,26515
Mindstream,HawleyMO,1147,13804,59960
sbrentsimpson,BostonCore,19143,10355,43331
NorthBelle4,morningmika,26612,60562,51301
gschuman,HawleyMO,1149,7632,59960
Maddjj,Freediscours,59517,66682,11481
Ankles_PierreJr,HawleyMO,1149,86050,59960
frank_hibbs,LahavHarkov,22782,3129,4209
mgwhalen,morningmika,26615,3280,51301
Bryan1949,EricTrump,27427,67759,53571
sbrentsimpson,CaptainQuint,3080,10359,73724
rwang0,ValaAfshar,2478,76014,21581
rentonMagaUK,Inevitable_ET,9713,63347,15584
junkfruit77,HawleyMO,1153,59518,59960
infidelus_rex,HawleyMO,1153,53182,59960
Whare_O,brianlewis3282,1139,38370,61539
SnarkyLive,biden_brigade,19053,85501,26202
noescapeCA,HawleyMO,1153,3500,59960
BarbaraLeu,Relic_USA,45647,8458,51580
MichaelEDH,ScottPresler,5988,67396,47375
Beverly21811568,NotHoodlum,3857,15564,53349
Maddjj,Freediscours,57996,66687,13007
TrumperSeaney,TruthAnJustice5,78885,72103,77853
jen_misha_lecki,mishacollins,3291,1814,52667
SteveTarantino1,HawleyMO,1155,25346,59960
revans133,DonaldJTrumpJr,30465,74140,51975
Virginia4KAG,HawleyMO,1156,3023,59960
AlwaysAMarine70,ScottPresler,5991,23399,47375
APACHEMAGA,HawleyMO,1157,67327,59960
sbrentsimpson,susanj357,7895,10365,7499
Redgran1,morningmika,26318,14270,51606
CheleCoin,HawleyMO,1158,80809,59960
KateMoo87776755,kb2u04,18570,7003,80506
CityofTwoRivers,SebGorka,20186,74612,83099
JoelNeumann,HawleyMO,1159,16138,59960
TerriDawson10,Jane_Splaining,26410,73148,72404
nblake03,HawleyMO,1159,299,59960
DebiPenguin1dp,morningmika,26624,9173,51301
TrumperSeaney,jennysue62,26407,72107,32052
KammererAngela,WWG1WGA,2271,8467,55654
Beverly21811568,RobAnderson2018,13159,15569,54335
Redgran1,morningmika,26625,14272,51301
Rebekah_Penny,morningmika,26625,81231,51301
Elmnjfl,morningmika,85132,19184,79198
andreklaur,HawleyMO,1164,4866,59960
LaLeneLa,morningmika,26324,3459,51606
jacquelineDeeG2,DonaldJTrumpJr,30473,1362,51975
jroach9680,sl1mrava2,843,77658,82740
Beverly21811568,guelphgirlchris,3474,15575,71557
theduckofdeath,morningmika,26630,8352,51301
rentonMagaUK,LeafsNation96,9535,63360,86276
ewindham3,davidmweissman,28106,67647,86063
karenJossel,morningmika,26631,4059,51301
loocidpede,HawleyMO,1166,13501,59960
JoyaMia00,superyayadize,37636,16181,38389
TerriDawson10,ampay,26502,73156,72705
gregsart,MarchLikeAgirl,158,67608,62917
BenJackd1,ScottPresler,6002,13918,47375
Beverly21811568,acnewsitics,19439,15577,68650
Italia_Mama1,DonaldJTrumpJr,30477,77373,51975
legend_lazarus,A_Plague_Doctor,276,49642,19875
kisabelle61,bobclendenin,8655,62454,65350
PJrtx,hatuey2013,187,84468,30821
mylesxfrancis,nosteponsnek220,7302,22928,51071
sbrentsimpson,RWTrollPatrol,18891,10377,71076
lotsaloco,antiamnesty,10488,63779,34101
BobOsbourne,PamelaGeller,32027,22205,32297
lulisum,HawleyMO,1171,71804,59960
TrumperSeaney,realPolitiDiva,80662,72119,4508
Beverly21811568,RilesTheDog,19264,15581,53167
desertveteran,WeWhoDieSaluteU,3526,10830,7529
CFitzBroadway,morningmika,26638,32325,51301
jrobtg1,HawleyMO,1173,33629,59960
Mitch1919,morningmika,26638,83088,51301
Super_Titles,morningmika,26638,55005,51301
SanJacintoClan,MarkDice,590,74528,82809
MeghaJC,morningmika,26334,9166,51606
BenJackd1,chesleydohl,7125,13925,82754
DaveCArnold1,michaeljknowles,212,82529,59587
lac_kipawa,cyndy_jt,18483,44760,75475
OnlyJeanSeixasM,HawleyMO,1175,19754,59960
Irwbpk,Debber66,59986,49033,52795
Gekdorp,RodneyCaston,13518,83669,50170
rentonMagaUK,becca079,7154,63371,69573
Brian_in_Dorset,PinkyD124,644,17407,19147
CaraFleischer10,morningmika,26642,61169,51301
LaurieLgbarbie,dbongino,32802,20365,62169
opposeMSM,ScottPresler,6013,685,47375
Measles4Pres,MarkDice,594,3767,82809
RainerRiver,mishacollins,3314,85903,52667
mylesxfrancis,buszero,7670,22937,29116
chirprn,lvlierop,6082,67015,5056
Beverly21811568,RWTrollPatrol,18901,15589,71076
espressodoppio6,morningmika,26339,13740,51606
BDurtsche,EricTrump,27457,32112,53571
bruce4nv,Baby50s,27415,17841,61051
TrumperSeaney,LATiffani1,26657,72130,30474
jajajajajessy,covfefe2020Q,26052,20625,57461
ByrdEileen,ShannonFreshour,7372,71730,61013
Jeremiah2020011,HawleyMO,1185,62591,59960
mylesxfrancis,skiboyscuba,7393,22939,8467
opposeMSM,AMErikaNGIRLLL,1662,692,16165
Kurt54712255,HawleyMO,1186,7250,59960
Drivebyu,EricTrump,27462,71826,53571
kgdawg88,KSolo_Min,3627,22549,84282
nouglypantsuits,EricTrump,27462,5060,53571
brad_raymer,mrbenwexler,1587,22251,13514
avendesora4,HawleyMO,1187,65845,59960
snakebaerer,morningmika,26348,80611,51606
GinaSavannah,DonaldJTrumpJr,30497,2253,51975
LynnmomtronLehr,ScottPresler,6024,77778,47375
mylesxfrancis,civorep,7514,22948,3152
MiamiBe44167721,RoydYure,236,6723,45029
sil5933,morningmika,26350,43507,51606
gizmojoe,DonaldJTrumpJr,30500,9919,51975
ByrdEileen,Debbie56111656,4476,71737,20433
demuromarquez,kazweida,13399,74118,43087
Gardenia316,ScottPresler,6026,59945,47375
MeserveFrances,DonaldJTrumpJr,30501,69840,51975
rhbaseball15,HawleyMO,1192,67877,59960
ABSewerRat,HawleyMO,1192,3956,59960
minitrashpanda,morningmika,25913,3517,52045
2Quarantino,michaege,26056,64240,58396
BushinskiSusan,morningmika,26660,68026,51301
Esther87068907,chesleydohl,7146,4944,82754
wrs1260,DonaldJTrumpJr,30504,795,51975
fredehmann,HawleyMO,1195,11246,59960
SquashTheCheeto,DanielNewman,23334,60456,42856
Sukran25961913,CEM84793560,6932,2309,27134
fj_newman,morningmika,26661,77329,51301
TheBigDawggg,HawleyMO,1196,2888,59960
BenjaminPayet15,michaeljknowles,233,18504,59587
Sherrillacyr12,morningmika,26662,64182,51301
DavidinConn,DonaldJTrumpJr,30506,82631,51975
spooner_lindsay,morningmika,26357,52367,51606
GINLOI,HawleyMO,1197,80230,59960
ByrdEileen,_ReaalAmerican_,2629,71743,75185
